軟體名稱,圖片,敘述,套件名稱,標籤,bash,備註
#黑白棋_KReversi,,黑白棋棋盤遊戲,,遊戲;,,
#四子棋_KfourInLine,,四子棋棋盤遊戲,,遊戲;,,
#五子棋_kbovo,,五子棋棋盤遊戲,,遊戲;,,
#五子棋_Bovo,,五子棋棋盤遊戲,,遊戲;,,
#麻將遊戲_Kajongg,,傳統四人麻將遊戲,,遊戲;,,
#麻將遊戲_KMahjongg,,訓練記憶配對的上海麻將遊戲,,遊戲;,,
#麻將遊戲_Shisen-Sho,,訓練記憶配對的四川省麻將遊戲,,遊戲;,,
#骰子遊戲_Kiriki,,骰子遊戲,,遊戲;,,
#骰子遊戲_KJumpingCube,,以骰子為主題的策略遊戲,,遊戲;,,
#紙牌遊戲_LSkat,,紙牌遊戲,,遊戲;,,
#紙牌遊戲_KPatience,,單人玩的紙牌遊戲,,遊戲;,,
#戰鬥機_bomber,,戰鬥機遊戲,,遊戲;,,
#銀河征戰_Konquest,,銀河戰略遊戲,,遊戲;,,
#海上戰爭_kbattleship,,擊沉船隻的遊戲,,遊戲;,,
#決戰星空_KSpaceDuel ,,以星際戰爭為主題的大型遊戲機遊戲,,遊戲;,,
#征服機器人_Killbots,,征服機器人遊戲,,遊戲;,,
#征服世界_KsirK,,征服世界戰略遊戲,,遊戲;,,
#征服世界_KsirK Editor,,征服世界戰略遊戲的外觀編輯器,,遊戲;,,
華容道_gnotski,gnome-klotski.svg,透過推箱子到目地的方式來訓練邏輯能力的遊戲,gnotski,遊戲;小學;,,
數字拼圖_gnotravex,gnome-tetravex.svg,透過簡單拼圖遊戲訓練邏輯思考能力,gnotravex,遊戲;小學;,,
彈珠台_Pinball,pinball.png,透過彈珠的彈射來得分，是練習專注力及反應力的遊戲,pinball,遊戲;小學;中學;,,
打磚塊_lbreakout2,lbreakout2.png,敲完所有的磚塊即過關，是練習專注力及反應力的遊戲,lbreakout2,遊戲;小學;,,
俄羅斯方塊_KBlocks,kblocks.png,將方塊消除即可得分，是訓練思考及反應力的遊戲,kblocks,遊戲;小學;中學;,,
高爾夫球_Kolf,kolf.png,具有機關及各種打法的高爾夫球，是訓練思考力的遊戲,kolf,遊戲;小學;,,
桌上冰球_Tuxpuck,tuxpuck.png,類似冰上曲棍球，是訓練反應力的遊戲,tuxpuck,遊戲;小學;,,
國際象棋_glchess,gnome-glchess.png,國際象棋，支持多種引擎，並且具有2D、3D外觀支持。,glchess,遊戲;小學;中學;,,
上海麻將_mahjongg,gnome-mahjongg.png,將不斷掉落的各形狀方塊拼合在一起，是訓練思考及觀察力的遊戲,gnome-mahjongg,遊戲;小學;,,
踩地雷_gnomine,gnome-mines.svg,清除方格陣中隱藏的地雷即過關，是訓練邏輯計算力的遊戲,gnomine,遊戲;小學;中學;,,
接龍遊戲_AisleRiot,gnome-aisleriot.svg,不同類型的接龍遊戲，是訓練思考及觀察力的遊戲,aisleriot,遊戲;小學;中學;,,
,,,,,,
,,,,,,
#教育,,,,,,
幼教_GCompris,gcompris.png,一套適合二到十歲的教育遊戲，內含電腦、數學、語言等類別,gcompris,教育;語言;小學;,,
,,,,,,
打字練習_KTouch,ktouch.png,練習打字的軟體,ktouch,教育;語言;小學;中學;,,
,,,,,,
馬鈴薯小子_Ktuberling,ktuberling.png,一款為小小孩設計的語言學習遊戲,ktuberling,教育;語言;小學;,,
語言_Anki,anki.png,可插入影音的快閃式字卡練習軟體,anki,教育;語言;小學;中學;,,#deb 檔案安裝
語言_Parley,parley-parley.svg,英文字彙訓練的軟體,parley,教育;語言;小學;中學;,,
語言_KLettres,klettres.svg,字母與發音學習軟體,klettres,教育;語言;中學;,,
語言_KWordQuiz,kwordquiz.png,可利用閃卡學習單字的軟體,kwordquiz,教育;語言;小學;中學;,,
語言_Kanagram,,字母排序遊戲,kanagram,教育;語言;小學;,,
語言_KHangMan,,單字記憶遊戲,khangman,教育;語言;小學;,,
電路圖_fritzing,Fritzing-48x48.png,是一套設計PCB (Printed Circuit Board) 印刷電路板的軟體，是特別給設計師、藝術家、研究者以及業餘玩家使用的工具,fritzing,教育;中學;大學;,,
物理_Step,step.png,物理模擬軟體,step,教育;物理;中學;大學;,,
物理光學_OpticalRayTracer,OpticalRayTracer.png,物理光學軟體,opticalraytracer,教育;物理;中學;大學;,,
地理_Marble,marble.png,學習地理、地圖瀏覽的軟體,marble,教育;地理;中學;大學;,,
地理_KGeography,kgeography.svg,學習地理、地圖瀏覽的軟體,kgeography,教育;地理;中學;大學;,,
#地球儀_Google Earth,google-earth.png,結合衛星、圖資與GIS的地球儀軟體,google-earth-stable,教育;地理;小學;中學;大學;,,
天文_KStars,kstars.svg,顯示時間、天氣和地理位置的星相軟體,kstars,教育;天文;中學;大學;,,
天文_Stellarium,stellarium.ico,即時顯示時間和所在位置的星座軟體,stellarium,教育;天文;小學;中學;大學;,,
天文_Celestia_gnome,celestia.png,可流暢地顯示高解析度影像的天文軟體,celestia-gnome,教育;天文;中學;大學;,,
數學_KBruch,kbruch.svg,學習計算與分數的軟體,kbruch,教育;數學;小學;中學;大學;,,
數學_Kig,kig.png,用於描繪幾何結構的軟體,kig,教育;數學;小學;中學;大學;,,
數學_Dr.Geo,drgeo_32x32.png,尺規製圖的幾何數理軟體,drgeo,教育;數學;小學;中學;大學;,,
數學_KmPlot,kmplot.svg,繪製數學函數的軟體,kmplot,教育;數學;中學;大學;,,
數學_GeoGebra,geogebra.png,繪製幾何圖形的軟體,geogebra,教育;數學;小學;中學;大學;,,
數學_wxMaxima,wxmaxima.png,用LISP編寫的計算機代數系統，用於公式推導和符號計算,wxmaxima,教育;數學;中學;大學;,,
數學_KAlgebra,kalgebra.png,圖形計算器,kalgebra,教育;數學;中學;大學;,,
數學_Kayali,kayali.svg,圖形介面之運算 (Maxima) 及繪圖 (GNUplot) 軟體,kayali,教育;數學;中學;大學;,,
數學_geometria,geometria.png,繪製幾何圖形的軟體,geometria,教育;數學;中學;大學;,,
資料結構分析_Rocs,Rocs.png,圖形理論資料結構分析工具,rocs,教育;數學;中學;大學;,,
化學_Kalzium,kalzium.png,元素週期表軟體,kalzium,教育;化學;中學;大學;,,
化學_BKchem,bkchem.png,平面化學分子的繪圖軟體,bkchem,教育;化學;中學;大學;,,
化學_Ghemical,ghemical.png,化學立體分子繪圖軟體,ghemical,教育;化學;中學;大學;,,
化學_Avogadro,avogadro-icon.png,化學立體分子繪圖軟體,avogadro,教育;化學;中學;大學;,,
化學_GchemPaint,gchempaint.png,化學結構編輯軟體,gchempaint,教育;化學;中學;大學;,,
生化_BALLView,ballview.png,立體分子繪圖及看圖軟體,ballview,教育;生化;中學;大學;,,
生化_Pymol,pymol.png,3D分子建模生化軟體,pymol,教育;生化;中學;大學;,,
#程式開發,,,,,,
程式設計_Scratch,scratch.png, 一套圖形化程式設計軟體，適合8歲以上的中小學生作為學習程式設計的入門軟體,scratch,教育;程式設計;小學;中學;,,
程式學習_Greenfoot,greenfoot.jpg, 一套圖形化程式設計軟體，適合學習  JAVA 程式語言設計的入門軟體,greenfoot,教育;程式設計;中學;大學;,,#deb 檔案安裝
程式設計_Alice,alice.gif,圖形化 3D 動畫程式設計 ,alice,教育;程式設計;中學;大學;,,
程式設計_KTurtle,kturtle.png,適合用於小朋友學習寫程式的入門軟體,kturtle,教育;程式設計;小學;,,
程式設計_Squeak,squeak.png,適合用於小朋友學習寫程式的入門軟體,Squeak-vm,教育;程式設計;小學;,,
整合開發環境_Geany,geany.svg,多功能的整合開發環境編輯軟體,geany,教育;程式設計;中學;大學;,,
#自由教材,,,,,,
自由教材網,1_icon_contents.png,自由教材網提供了國際間豐富的自由授權教材或素材相關連結,openc,教育;自由教材;中學;大學;,,
PhETˍ互動式教學,phet.png,PhET包含了物理生物化學地球科學數學等100多個動畫模擬教學範例,phet,教育;自由教材;小學;中學;大學;,,
USGS_地震動畫教學,USGS.png,這是美國地質調查局USGS所製作的地震動畫教學範例,usgs,教育;自由教材;小學;中學;大學;,,
化學構造資料庫,cs.png,化學構造資料庫依照官能基將有機分子分類，適合高中及大學化學生物等課程,cs,教育;自由教材;中學;大學;,,
物理動畫教學,panimation.png,物理動畫教學適合國高中以上的物理課程，例如向量波力學等教學動畫,panimation,教育;自由教材;中學;大學;,,
,,,,,,
#教師工具,,,,,,
教學設計_jClic,JClic-logo.png,JClic 是一個電腦教學應用軟體，用於設計不同類型的教育活動，如拼圖，關聯，文字練習，填字遊戲等,jclic,教師工具;,,
桌面畫筆_Ardesia,ardesia.png,可錄製桌面塗鴉的軟體,ardesia,教師工具;電子白板;小學;中學;,,
布幕程式_Curtain,curtain.png,模擬背景，布幕的軟體,curtain,教師工具;電子白板;小學;,,
聚光燈_Spotlighter,spotlighter.png,顯示和移動聚光燈的軟體,spotlighter,教師工具;電子白板;小學;,,
滑鼠手勢_Easystroke,easystroke.svg,可設定滑鼠手勢來執行電腦相關作業的軟體,easystroke,教師工具;電子白板;小學;中學;,,
#搖桿模擬器_QJoyPad,gamepad2-64x64.png,將 USB 搖桿上的按鍵直接對映到鍵盤按鍵的軟體,qjoypad,教師工具;電子白板;小學;大學;,,
#Wiimote設定_Wiican,wiican.svg,Wiimote 連線及快速鍵設定的軟體,wiican,教師工具;電子白板;小學;,,
Wii手把連線軟體_wminput,wminput.png,Ｗiimote 手把連線設定軟體,wminput,教師工具;電子白板;小學;中學;大學;,,
網路芳鄰_samba,samba.png,快速設定網路芳鄰的程式,samba,教師工具;,inst_samba_content.sh,
#教學伺服器_lampp,eduserver.png,可以讓你快速安裝教學伺服器 Xampp 的安裝程式,,教師工具;,inst_tea_server.sh,
螢幕廣播_iTALC客戶端,Italc_logo.png,iTALC 是一個可以用於電腦教室螢幕廣播與監控的軟體,italc-client,教師工具;,,
螢幕廣播_iTALC伺服器端,Italc_logo.png,iTALC 是一個可以用於電腦教室螢幕廣播與監控的軟體,italc-master,教師工具;,,
#附屬應用程式,,,,,,
單位換算_ConvertAll,convertall.svg,單位換算的軟體,convertall,附屬應用程式;小學;,,
分割列印_PosteRazor,PosteRazor.png,可將大圖片或海報，分割各種尺寸的軟體,posterazor,附屬應用程式;小學;,,
檔案瀏覽器_Dolphin,system-file-manager.png,類似檔案總管，可查看資料夾中的相關訊息,dolphin,附屬應用程式;小學;中學;大學;,,
電子白板_whiteboard,pywb_pixmap.png,wiimote 白板用的定位軟體,whiteboard,教師工具;電子白板;小學;,,
